School Name,Network,DO2010,DO2011,DO2012
NTH LAWNDALE CHTR-COLLINS,Charter/Contract Schools,3.4,5.0,4.5
OGDEN HS,North-Northwest Side High School Network,4.1,6.8,5.3
ORR HS,AUSL Schools,18.2,20.1,21.4
PATHWAYS EDUCATION HS,Alternative Schools,,,32.1
PAYTON HS,North-Northwest Side High School Network,2.8,1.9,1.9
PEACE & EDUCATION HS,Alternative Schools,46.8,41.9,39.3
PERSPECTIVES CHTR CALUMET HS,Charter/Contract Schools,6.5,12.4,10.5
PERSPECTIVES CHTR CALUMET TECH,Charter/Contract Schools,8.9,8.0,8.6
PERSPECTIVES CHTR IIT,Charter/Contract Schools,7.6,6.1,7.8
PERSPECTIVES CHTR JOSLIN,Charter/Contract Schools,3.1,1.9,3.8
PHILLIPS AA HS,AUSL Schools,16.9,21.7,11.1
PHILLIPS HS,AUSL Schools,9.7,32.8,3.5
PHOENIX MILITARY HS,West Side High School Network,1.3,0.7,3.6
PROLOGUE HS,Charter/Contract Schools,35.6,33.0,18.7
PROLOGUE-JOHNSTON CHTR HS,Charter/Contract Schools,,17.8,19.6
PROSSER HS,North-Northwest Side High School Network,4.2,3.5,3.9
RABY HS,West Side High School Network,5.2,4.6,6.7
RICHARDS HS,Southwest Side High School Network,2.0,1.5,0.4
RICKOVER HS,North-Northwest Side High School Network,3.1,3.5,2.2
ROBESON AA HS,Southwest Side High School Network,15.2,7.6,20.6
ROBESON HS,Southwest Side High School Network,6.4,4.3,18.6
ROOSEVELT HS,North-Northwest Side High School Network,9.2,10.9,7.5
SCHOOL OF LEADRSHP HS,South Side High School Network,12.2,21.4,11.2
SCHURZ HS,North-Northwest Side High School Network,8.5,5.3,4.8
SENN HS,North-Northwest Side High School Network,12.2,12.8,9.2
SHABAZZ CHTR-DUSABLE,Charter/Contract Schools,8.5,6.6,10.9
SIMEON HS,South Side High School Network,4.4,5.3,4.6
SIMPSON HS,Alternative Schools,30.1,23.9,39.6
SOLORIO HS,AUSL Schools,,1.3,3.0
SOUTH SHORE INTL HS,South Side High School Network,,,2.7
SOUTHSIDE HS,Southwest Side High School Network,4.6,4.8,3.3
SPRY HS,West Side High School Network,1.3,2.1,0.8
STEINMETZ COLLEGE PREP HS,North-Northwest Side High School Network,9.9,8.0,8.2
SULLIVAN HS,North-Northwest Side High School Network,14.7,11.7,11.3
TAFT HS,North-Northwest Side High School Network,8.4,2.0,3.5
TEAM HS,Southwest Side High School Network,0.6,3.0,1.7
TILDEN AA HS,Southwest Side High School Network,34.3,11.3,15.9
TILDEN HS,Southwest Side High School Network,17.1,8.0,12.6
UNIV OF CHGO CHTR-WOODLAWN,Charter/Contract Schools,4.1,6.3,6.4
UNO CHTR - MAJOR HECTOR P.GARCIA,Charter/Contract Schools,2.8,1.6,2.8
UPLIFT HS,North-Northwest Side High School Network,4.1,1.1,2.8
URBAN PREP CHTR - BRONZEVILLE,Charter/Contract Schools,,4.4,4.2
URBAN PREP CHTR - WEST,Charter/Contract Schools,4.0,7.1,8.9
URBAN PREP CHTR-ENGLEWOOD,Charter/Contract Schools,7.7,12.9,11.6
VAUGHN HS,North-Northwest Side High School Network,0.9,3.1,3.3
VIVIAN SUMMERS ALTERNATIVES HS,Alternative Schools,,,38.6
VOISE HS,West Side High School Network,6.7,4.7,0.6
VON STEUBEN HS,North-Northwest Side High School Network,1.1,0.8,1.1
WASHINGTON HS,Far South Side High School Network,0.6,0.8,5.1
WELLS HS,West Side High School Network,13.6,14.6,11.9
"WILLIAMS, D",South Side High School Network,3.9,1.1,1.0
WORLD LANGUAGE HS,West Side High School Network,7.3,3.8,1.9
YNG WOMEN-CHTR CAMPUS,Charter/Contract Schools,6.8,9.5,5.6
YOUNG HS,West Side High School Network,1.4,1.3,0.4
YOUTH CONNECTION CHTR,Charter/Contract Schools,35.3,37.6,36.2
